order_number,center_id,city,model,diopter,cyl,qty,order_date,ship_date,delivery_date,freight_mode
562794,ELW,Warmond,PC580,14.5,NA,1,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,15.0,NA,1,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,15.5,NA,1,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,18.5,NA,4,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,19.0,NA,5,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,20.0,NA,2,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,20.5,NA,1,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,21.0,NA,2,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,21.5,NA,1,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,22.0,NA,3,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,22.5,NA,3,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,23.5,NA,1,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,25.5,NA,1,10-10-25,10-10-25,10-10-25,RUSH
562794,ELW,Warmond,PC580,26.0,NA,1,10-10-25,10-10-25,10-10-25,RUSH
563133,ELW,Warmond,PC580,11.0,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,12.5,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,13.5,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,14.5,NA,2,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,18.0,NA,3,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,18.5,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,19.0,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,20.0,NA,3,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,20.5,NA,5,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,21.0,NA,2,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,21.5,NA,3,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,22.0,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,22.5,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,23.5,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,24.0,NA,2,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,26.0,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,27.0,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563133,ELW,Warmond,PC580,27.5,NA,1,17-10-25,17-10-25,17-10-25,RUSH
563491,ELW,Warmond,PC580,16.5,NA,1,23-10-25,23-10-25,23-10-25,RUSH
563491,ELW,Warmond,PC580,19.0,NA,1,23-10-25,23-10-25,23-10-25,RUSH
563491,ELW,Warmond,PC580,19.5,NA,1,23-10-25,23-10-25,23-10-25,RUSH
563491,ELW,Warmond,PC580,20.0,NA,2,23-10-25,23-10-25,23-10-25,RUSH
563491,ELW,Warmond,PC580,20.5,NA,2,23-10-25,23-10-25,23-10-25,RUSH
563491,ELW,Warmond,PC580,22.0,NA,1,23-10-25,23-10-25,23-10-25,RUSH
563491,ELW,Warmond,PC580,24.0,NA,3,23-10-25,23-10-25,23-10-25,RUSH
563491,ELW,Warmond,PC580,24.5,NA,1,23-10-25,23-10-25,23-10-25,RUSH
563491,ELW,Warmond,PC580,25.0,NA,1,23-10-25,23-10-25,23-10-25,RUSH
563967,ELW,Warmond,PC580,12.0,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,15.5,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,16.0,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,16.5,NA,2,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,17.0,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,17.5,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,18.5,NA,2,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,19.0,NA,2,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,19.5,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,20.0,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,20.5,NA,3,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,21.0,NA,4,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,21.5,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,22.0,NA,1,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,22.5,NA,2,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,23.0,NA,3,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,23.5,NA,6,31-10-25,31-10-25,31-10-25,RUSH
563967,ELW,Warmond,PC580,24.0,NA,3,31-10-25,31-10-25,31-10-25,RUSH
564375,ELW,Warmond,PC580,6.0,NA,1,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,10.0,NA,1,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,13.0,NA,1,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,14.0,NA,1,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,15.0,NA,1,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,16.0,NA,1,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,17.0,NA,1,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,18.5,NA,2,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,19.0,NA,2,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,19.5,NA,2,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,20.0,NA,2,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,20.5,NA,1,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,21.0,NA,3,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,21.5,NA,4,07-11-25,07-11-25,07-11-25,RUSH
564375,ELW,Warmond,PC580,22.0,NA,8,07-11-25,07-11-25,07-11-25,RUSH
